label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,51,[0.27073008 0.2240415  0.4131662  0.09206229],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.25632975 0.23195143 0.40051642 0.11120237],,,12.0,,,,,,,2.0,,,,,,,,,8.0,,,6.0,,,,,,,,,12.0,,,,2.0,,,,2.0,2.0,,,,,
[0],5724,7,[0.28897083 0.24525176 0.20655163 0.2592258 ],[0.39725292 0.20592682 0.26314494 0.13367526],[0.29043674 0.2436472  0.19445305 0.27146295],,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5699,5,[0.27664185 0.25974214 0.21615142 0.2474646 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27687928 0.26226825 0.21281205 0.24804042],,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
[0],5688,4,[0.28101408 0.25127494 0.23410062 0.23361032],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.26379874 0.26394722 0.24580707 0.22644699],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5702,6,[0.29740113 0.23923337 0.2258401  0.23752548],[0.31579158 0.21419065 0.29872063 0.17129713],[0.30200055 0.23731732 0.21932699 0.24135521],,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5714,4,[0.28101408 0.25127494 0.23410062 0.23361032],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.26379874 0.26394722 0.24580707 0.22644699],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5708,5,[0.27664185 0.25974214 0.21615142 0.2474646 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27687928 0.26226825 0.21281205 0.24804042],,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
[0],5843,25,[0.25465086 0.26260382 0.27652177 0.20622349],[0.82291853 0.06063034 0.10464665 0.01180454],[0.25119048 0.26241386 0.27030253 0.21609308],,,8.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,
[0],5873,5,[0.28291124 0.2577789  0.22915581 0.230154  ],[0.2731447  0.2547929  0.23922442 0.23283799],[0.2839454  0.26019427 0.22711648 0.22874385],,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
[0],5697,5,[0.27664185 0.25974214 0.21615142 0.2474646 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27687928 0.26226825 0.21281205 0.24804042],,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
[0],5783,16,[0.26765853 0.26196375 0.25384274 0.21653499],[0.39413357 0.11826013 0.4409748  0.04663156],[0.26379874 0.26394722 0.24580707 0.22644699],,,6.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5701,5,[0.27664185 0.25974214 0.21615142 0.2474646 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27687928 0.26226825 0.21281205 0.24804042],,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
[0],5845,42,[0.26710472 0.24542974 0.35744506 0.13002044],[9.8531187e-01 1.8278176e-03 1.2831686e-02 2.8650889e-05],[0.25906825 0.24611606 0.3527227  0.14209297],,,10.0,,,,,,,,,,,,,,,,4.0,,,6.0,,2.0,,,,2.0,2.0,,8.0,,,,,,,,,,,,,,
[0],5778,18,[0.27475947 0.26277018 0.27298972 0.18948068],[0.761623   0.031212   0.19649462 0.01067041],[0.27274522 0.27034742 0.2534747  0.2034326 ],,,4.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,
[1],5731,43,[0.26396134 0.26726913 0.31632087 0.1524487 ],[1.1364882e-05 9.9985659e-01 1.3180358e-04 2.2794679e-07],[0.28246313 0.24179517 0.30339235 0.17234936],,,10.0,,,,,,,,,,,,,,,,12.0,,,4.0,,2.0,,,,,2.0,,6.0,,,,,,,,,,,,,,
[1],5905,7,[0.2892196  0.26124915 0.24381469 0.20571649],[0.15494749 0.54743814 0.21439601 0.08321825],[0.2910496  0.26086324 0.24323596 0.20485114],,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,,2.0,,,,2.0,,,,2.0,2.0,,,,,
[1],5808,17,[0.25453418 0.26039922 0.2880716  0.1969949 ],[0.33454943 0.45557433 0.18355651 0.02631968],[0.2551562  0.2557302  0.29344192 0.19567163],,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,
[1],5785,28,[0.25041246 0.27059376 0.30009863 0.1788951 ],[0.06015658 0.74386996 0.19148983 0.00448361],[0.24690452 0.26468602 0.2969372  0.19147229],,,8.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,2.0,,,,,,,,
[2],5757,24,[0.29327545 0.22332102 0.303387   0.18001649],[4.2013343e-07 1.4281601e-06 9.9999809e-01 6.0993544e-09],[0.30679765 0.21947159 0.26771754 0.20601322],,,10.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,2.0,,,,2.0,2.0,,,,,
[2],5797,68,[0.16678543 0.23417862 0.51980036 0.07923556],[1.3037322e-17 9.3949744e-12 1.0000000e+00 1.2543196e-22],[0.20425944 0.29577568 0.3701932  0.12977166],,,16.0,,,,,,,,2.0,,,,,,,,12.0,,,4.0,,,,,,,,,10.0,,,,2.0,,6.0,,2.0,2.0,,,,,
[2],5900,116,[0.02601363 0.04715376 0.9241751  0.00265749],[5.3081997e-33 3.7996071e-27 1.0000000e+00 2.4102334e-43],[0.0771112  0.12622772 0.7836563  0.01300483],,,36.0,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,2.0,2.0,,32.0,,,,,,,,,,,,,,
