label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,1140,[0.51658654 0.16290726 0.27925932 0.04124692],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.6734404  0.09760337 0.21131612 0.0176401 ],,,86.0,,,,,,,4.0,,,,,,,,,76.0,,,36.0,,2.0,,,,2.0,,,80.0,,,,1524,,6.0,,1524,1524,,,,,
[0],5724,1070,[0.31051895 0.24138485 0.23641796 0.21167824],[0.39725292 0.20592682 0.26314494 0.13367526],[0.31801832 0.25496924 0.22520377 0.20180866],,,8.0,,,,,,,,216.0,,,,,42.0,,,,,,,,2.0,,,,126.0,,,4.0,,,,1758,,,,1758,1758,,,,,
[0],5699,1064,[0.2659789  0.25517887 0.23100388 0.24783832],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27489534 0.23317829 0.22775564 0.26417074],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128.0,,,,,,,1826,,,,1826,1826,,,,,
[0],5688,1061,[0.285752   0.2435566  0.23600842 0.23468298],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,218.0,,,,,,,,,,,,,2.0,,,,124.0,,,,,,,1776,,,,1776,1776,,,,,
[0],5702,1065,[0.29065263 0.24979869 0.2399172  0.21963151],[0.31579158 0.21419065 0.29872063 0.17129713],[0.27352923 0.26945633 0.2537036  0.20331079],,,4.0,,,,,,,,206.0,,,,,,,,,,,,,,,,,114.0,,,4.0,,,,1594,,,,1594,1594,,,,,
[0],5714,1061,[0.28959912 0.24674316 0.2279662  0.23569152],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.300871   0.2468459  0.2211666  0.23111652],,,,,,,,,,,218.0,,,,,,,,,,,,,2.0,,,,124.0,,,,,,,1776,,,,1776,1776,,,,,
[0],5708,1064,[0.26996627 0.2585523  0.22054645 0.250935  ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27788153 0.25211057 0.21101366 0.25899416],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128.0,,,,,,,1826,,,,1826,1826,,,,,
[0],5843,1099,[0.3838113  0.22209784 0.24036352 0.15372737],[0.82291853 0.06063034 0.10464665 0.01180454],[0.50998247 0.15119994 0.23164321 0.10717435],,,26.0,,,,,,,,208.0,,,,,2.0,,,38.0,,,16.0,,2.0,,,,114.0,,,24.0,,,,1642,,6.0,,1642,1642,,,,,
[0],5873,1051,[0.2873846  0.24190061 0.23015158 0.24056324],[0.2731447  0.2547929  0.23922442 0.23283799],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,8.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,1552,,,,1552,1552,,,,,
[0],5697,1064,[0.27322188 0.2571888  0.22774953 0.24183974],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27788153 0.25211057 0.21101366 0.25899416],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128.0,,,,,,,1826,,,,1826,1826,,,,,
