label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,1140,[0.51658654 0.16290726 0.27925932 0.04124692],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.6734404  0.09760337 0.21131612 0.0176401 ],,,86.0,,,,,,,4.0,,,,,,,,,76.0,,,36.0,,2.0,,,,2,,,80.0,,,,1524,,6.0,,1524,1524,,,,,
[0],5724,1070,[0.31051895 0.24138485 0.23641796 0.21167824],[0.39725292 0.20592682 0.26314494 0.13367526],[0.31801832 0.25496924 0.22520377 0.20180866],,,8.0,,,,,,,,216.0,,,,,42.0,,,,,,,,2.0,,,,126,,,4.0,,,,1758,,,,1758,1758,,,,,
[0],5699,1064,[0.2659789  0.25517887 0.23100388 0.24783832],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27489534 0.23317829 0.22775564 0.26417074],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128,,,,,,,1826,,,,1826,1826,,,,,
[0],5688,1061,[0.285752   0.2435566  0.23600842 0.23468298],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,218.0,,,,,,,,,,,,,2.0,,,,124,,,,,,,1776,,,,1776,1776,,,,,
[0],5702,1065,[0.29065263 0.24979869 0.2399172  0.21963151],[0.31579158 0.21419065 0.29872063 0.17129713],[0.27352923 0.26945633 0.2537036  0.20331079],,,4.0,,,,,,,,206.0,,,,,,,,,,,,,,,,,114,,,4.0,,,,1594,,,,1594,1594,,,,,
[0],5714,1061,[0.28959912 0.24674316 0.2279662  0.23569152],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.300871   0.2468459  0.2211666  0.23111652],,,,,,,,,,,218.0,,,,,,,,,,,,,2.0,,,,124,,,,,,,1776,,,,1776,1776,,,,,
[0],5708,1064,[0.26996627 0.2585523  0.22054645 0.250935  ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27788153 0.25211057 0.21101366 0.25899416],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128,,,,,,,1826,,,,1826,1826,,,,,
[0],5843,1099,[0.3838113  0.22209784 0.24036352 0.15372737],[0.82291853 0.06063034 0.10464665 0.01180454],[0.50998247 0.15119994 0.23164321 0.10717435],,,26.0,,,,,,,,208.0,,,,,2.0,,,38.0,,,16.0,,2.0,,,,114,,,24.0,,,,1642,,6.0,,1642,1642,,,,,
[0],5873,1051,[0.2873846  0.24190061 0.23015158 0.24056324],[0.2731447  0.2547929  0.23922442 0.23283799],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,8.0,,,,,,,,,,,,,2.0,,,,2,,,,,,,1552,,,,1552,1552,,,,,
[0],5697,1064,[0.27322188 0.2571888  0.22774953 0.24183974],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27788153 0.25211057 0.21101366 0.25899416],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128,,,,,,,1826,,,,1826,1826,,,,,
[0],5783,1078,[0.32699466 0.22823068 0.26649466 0.17828004],[0.39413357 0.11826013 0.4409748  0.04663156],[0.38916358 0.20141263 0.24617116 0.16325264],,,18.0,,,,,,,,28.0,,,,,,,,20.0,,,,,4.0,,,,6,,,14.0,,,,1430,,,,1430,1430,,,,,
[0],5701,1064,[0.27077678 0.25481617 0.222061   0.25234598],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27788153 0.25211057 0.21101366 0.25899416],,,,,,,,,,,226.0,,,,,42.0,,,,,,,,2.0,,,,128,,,,,,,1826,,,,1826,1826,,,,,
[0],5845,1144,[0.4872209  0.18453856 0.24776995 0.08047058],[9.8531187e-01 1.8278176e-03 1.2831686e-02 2.8650889e-05],[0.58106565 0.12128241 0.2633784  0.03427356],,,80.0,,,,,,,,30.0,,,,,,,,78.0,,,58.0,,,,,,2,2.0,,76.0,,,,1554,,16.0,,1554,1554,,,,,
[0],5778,1102,[0.38333923 0.20487067 0.25968766 0.15210244],[0.761623   0.031212   0.19649462 0.01067041],[0.53638166 0.14050998 0.21320452 0.10990387],,,34.0,,,,,,,,210.0,,,,,,,,,,,34.0,,2.0,,,,6,,,30.0,,,,1752,,,,1752,1752,,,,,
[1],5731,1120,[0.1202426  0.63215876 0.1771379  0.07046069],[1.1364882e-05 9.9985659e-01 1.3180358e-04 2.2794679e-07],[0.11546166 0.6427363  0.1390133  0.10278875],,,64.0,,,,,,,,180.0,,,,,2.0,,,62.0,,,8.0,,2.0,,,,2,,,58.0,,,,1358,,14.0,,1358,1358,,,,,
[1],5905,1056,[0.26476392 0.27469537 0.24763077 0.21290986],[0.15494749 0.54743814 0.21439601 0.08321825],[0.26474088 0.28847605 0.24786326 0.1989198 ],,,8.0,,,,,,,,6.0,,,,,,,,,,,,,2.0,,,,2,,,8.0,,,,1450,,,,1450,1450,,,,,
[1],5808,1103,[0.25729617 0.34753144 0.23159333 0.16357905],[0.33454943 0.45557433 0.18355651 0.02631968],[0.19947404 0.48097047 0.19213928 0.12741612],,,22.0,,,,,,,,210.0,,,,,2.0,,,12.0,,,36.0,,,,,,2,2.0,,18.0,,,,1784,,16.0,,1784,1784,,,,,
[1],5785,1109,[0.2536573  0.3379187  0.27072686 0.13769722],[0.06015658 0.74386996 0.19148983 0.00448361],[0.23428585 0.40712026 0.2446295  0.11396439],,,32.0,,,,,,,,8.0,,,,,,,,34.0,,,20.0,,2.0,,,,4,2.0,,28.0,,,,1556,,6.0,,1556,1556,,,,,
[2],5757,1080,[0.15336582 0.15033278 0.6265767  0.06972468],[4.2013343e-07 1.4281601e-06 9.9999809e-01 6.0993544e-09],[0.20977801 0.21357115 0.4505113  0.12613952],,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,30.0,,,,856,,,,856,856,,,,,
