label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
0,5678,,,6.0,,1.0,1.0,,5.0,,1.0,1.0,,,3.0,,1.0,,5.0,4.0,,,3.0,,,,,,,1.0,3.0,9.0,10.0,,,1.0,,1.0,,1.0,1.0,,,,,
0,5724,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5699,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5688,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5702,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5714,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5708,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5843,,,4.0,,,,,1.0,,,1.0,,,2.0,,,,6.0,3.0,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
0,5873,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,5697,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5783,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5701,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5845,,,5.0,,,2.0,,8.0,,,,,,4.0,,,,5.0,6.0,,,2.0,,,,,,1.0,,3.0,6.0,5.0,,,2.0,,2.0,,2.0,2.0,,,,,
0,5778,,,4.0,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,
1,5731,,,5.0,,,,,,,,,,,,,,,10.0,4.0,,,1.0,,,,,,,,1.0,7.0,,,,1.0,,1.0,,1.0,1.0,,,,,
1,5905,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
1,5808,,,3.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,
1,5785,,,4.0,,,,,1.0,,,,,,1.0,,,,6.0,3.0,,,1.0,,,,,,,,2.0,3.0,4.0,,,1.0,,1.0,,1.0,1.0,,,,,
2,5757,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,1.0,,,,1.0,1.0,,,,,
2,5797,,,8.0,,6.0,2.0,,5.0,,,,,,14.0,,,,30.0,4.0,,,5.0,,1.0,,,,,,13.0,11.0,9.0,,,1.0,,6.0,,1.0,1.0,,,,,
2,5900,,,21.0,,,,,2.0,,,,,,35.0,,1.0,,78.0,7.0,,,1.0,,,,,,,,32.0,25.0,,,,,,,,,,,,,,
2,5677,,,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,15.0,,,,1.0,,,,1.0,1.0,,,,,
2,5791,,,152.0,,14.0,14.0,,71.0,,13.0,1.0,,,214.0,,1.0,,606.0,15.0,,,15.0,,1.0,,,,1.0,1.0,214.0,165.0,165.0,,,2.0,,11.0,,2.0,2.0,,,,,
2,5811,,,5.0,,,3.0,,,,,1.0,,,7.0,,,,5.0,1.0,,,1.0,,,,,,1.0,,7.0,4.0,6.0,,,,,3.0,,,,,,,,
2,5831,,,3.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
2,5839,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,
2,5755,,,9.0,,2.0,2.0,,3.0,,,,,,15.0,,,,21.0,2.0,,,2.0,,,,,,1.0,1.0,22.0,10.0,7.0,,,1.0,,2.0,,1.0,1.0,,,,,
2,5844,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,
2,5861,,,27.0,,,,,1.0,,1.0,1.0,,,18.0,,,,22.0,3.0,,,1.0,,1.0,,,,1.0,1.0,14.0,33.0,,,,1.0,,,,1.0,1.0,,,,,
